PER-MODEL SUMMARY — every dataset collapsed; one gini per (agent x model), mean across 6 datasets

harness    model          run kb │ GLM      SE     │ GAM      SE     │ GrpLasso SE     │ GrpNet   SE     │ TDboost  SE     │ overall
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
claudecode opus47         r1  Y  │ +0.3113  0.1383 │ +0.4048  0.0932 │ +0.3946  0.0920 │ +0.3947  0.0920 │ +0.4048  0.0940 │ +0.3821
claudecode opus47         r2  Y  │ +0.3888  0.0952 │ +0.4034  0.0935 │ +0.3945  0.0924 │ +0.3953  0.0923 │ +0.3884  0.0996 │ +0.3941
claudecode sonnet46       r1  Y  │ +0.2505  0.1621 │ +0.4091  0.1141 │ +0.3956  0.0919 │ +0.3957  0.0920 │ +0.4047  0.0940 │ +0.3698
claudecode sonnet46       r2  Y  │ +0.2993  0.1378 │ +0.4027  0.0951 │ +0.3907  0.0954 │ +0.3909  0.0954 │ +0.4024  0.0945 │ +0.3772
codex      gpt5.3         r1  Y  │ +0.2645  0.1537 │ +0.3963  0.0934 │ +0.3947  0.0920 │ +0.3950  0.0919 │ +0.3998  0.0953 │ +0.3701
codex      gpt5.4         r1  Y  │ +0.2929  0.1395 │ +0.4014  0.0941 │ +0.3891  0.0932 │ +0.3880  0.0932 │ +0.3920  0.0984 │ +0.3727
codex      gpt5.5         r1  Y  │ +0.3884  0.0954 │ +0.4030  0.0936 │ +0.3948  0.0919 │ +0.3955  0.0917 │ +0.4047  0.0940 │ +0.3973
gemini     gemini3.1pro   r1  Y  │ +0.2506  0.1621 │ +0.4063  0.1137 │ +0.3950  0.0918 │ +0.3957  0.0917 │ +0.4047  0.0940 │ +0.3692
gemini     gemini35flash  r1  Y  │ +0.3889  0.0952 │ +0.4043  0.0934 │ +0.3950  0.0918 │ +0.3957  0.0917 │ +0.4046  0.0940 │ +0.3977
gemini     gemini35flash  r2  Y  │ +0.2503  0.1621 │ +0.4044  0.0932 │ +0.3930  0.0924 │ +0.3929  0.0924 │ +0.4024  0.0945 │ +0.3686
openclaw   gemini35flash  r1  Y  │ +0.2506  0.1621 │ +0.4048  0.0932 │ +0.3932  0.0926 │ +0.3934  0.0924 │ +0.4024  0.0945 │ +0.3689
openclaw   gpt5.5         r1  Y  │ +0.3499  0.1123 │ +0.4048  0.0932 │ +0.3935  0.0921 │ +0.3937  0.0922 │ +0.4024  0.0945 │ +0.3889
claudecode opus47         r1  -  │ +0.3113  0.1383 │ +0.4048  0.0932 │ +0.3166  0.1136 │ +0.3158  0.1137 │ +0.3866  0.0996 │ +0.3470
claudecode opus47         r2  -  │ +0.3908  0.0974 │ +0.4071  0.0942 │ +0.3973  0.0947 │ +0.3979  0.0946 │ +0.3966  0.0966 │ +0.3979
claudecode sonnet46       r1  -  │ +0.3938  0.0963 │ +0.4057  0.0930 │ +0.3888  0.0964 │ +0.3896  0.0963 │ +0.3960  0.0964 │ +0.3948
codex      gpt5.3         r1  -  │ +0.2505  0.1621 │ +0.4049  0.1484 │ +0.3881  0.0966 │ +0.3885  0.0965 │ +0.4059  0.0933 │ +0.3649
codex      gpt5.4         r1  -  │ +0.3888  0.0952 │ +0.4041  0.0944 │ +0.3902  0.0959 │ +0.3903  0.0958 │ +0.4021  0.0950 │ +0.3951
codex      gpt5.5         r1  -  │ +0.3888  0.0952 │ +0.4044  0.0933 │ +0.3882  0.0965 │ +0.3884  0.0964 │ +0.4004  0.0955 │ +0.3941
gemini     gemini3.1pro   r1  -  │ +0.2506  0.1621 │   —        —    │ +0.3885  0.0966 │ +0.3888  0.0964 │ +0.4044  0.0935 │ +0.3581
gemini     gemini35flash  r1  -  │ +0.2506  0.1621 │ +0.3987  0.0938 │ +0.3946  0.0920 │ +0.3949  0.0920 │ +0.4048  0.0940 │ +0.3687
gemini     gemini35flash  r2  -  │ +0.2505  0.1621 │ +0.4048  0.0932 │ +0.3932  0.0926 │ +0.3934  0.0924 │ +0.4043  0.0939 │ +0.3692
